alpha_2_code,category_id,language,category_name,category_name_plural
MU,340,en,dependency,dependencies
MU,340,fr,dépendance,
MV,326,dv,atholhu,
MV,326,en,administrative atoll,administrative atolls
MV,326,fr,atoll administratif,
MV,476,en,city,cities
MV,476,fr,ville,
MW,135,en,region,regions
MW,135,fr,région,
MW,135,ny,mchigawo,
MW,367,en,district,districts
MW,367,fr,district,
MW,367,ny,boma,
MX,239,en,state,states
MX,239,fr,État,
MX,239,es,estado,
MX,341,en,federal district,federal districts
MX,341,fr,district fédéral,
MX,341,es,distrito federal,
MY,147,en,federal territory,federal territories
MY,147,fr,territoire fédéral,
MY,147,ms,wilayah persekutuan,
MY,156,en,state,states
MY,156,fr,État,
MY,156,ms,negeri,
MZ,131,en,city,cities
MZ,131,fr,ville,
MZ,131,pt,cidade,
MZ,281,en,province,provinces
MZ,281,fr,province,
MZ,281,pt,província,
NA,157,en,region,regions
NA,157,fr,région,
NE,110,en,urban community,urban communities
NE,110,fr,communauté urbaine,
NE,282,en,region,regions
NE,282,fr,région,
NG,200,en,state,states
NG,200,fr,État,
NG,435,en,capital territory,capital territories
NG,435,fr,territoire de la capitale,
NI,111,en,department,departments
NI,111,fr,département,
NI,111,es,departamento,
NI,310,en,autonomous region,autonomous regions
NI,310,fr,région autonome,
NI,310,es,región autónoma,
NL,387,en,province,provinces
NL,387,fr,province,
NL,387,nl,provincie,
NL,398,en,country,countries
NL,398,nl,land,
NL,398,,pais,
NL,413,en,special municipality,special municipalities
NL,413,nl,bijzondere gemeente,
NL,413,,municipio special,
NO,257,en,county,counties
NO,257,fr,département,
NO,257,nn,fylke,
NO,257,nb,fylke,
NO,345,en,arctic region,arctic regions
NO,345,fr,région arctique,
NO,345,nn,arktisk område,
NO,345,nb,arktisk område,
NP,178,en,development region,development regions
NP,178,fr,région de développement,
NP,178,ne,vikas kshetra,
NP,258,en,zone,zones
NP,258,fr,zone,
NP,258,ne,anchal,
NP,477,en,province,provinces
NP,477,fr,province,
NP,477,ne,pradesh,
NR,172,en,district,districts
NR,172,fr,district,
NR,172,na,distric,
NZ,388,en,region,regions
NZ,388,fr,région,
NZ,388,mi,rohe,
NZ,440,en,special island authority,special island authorities 
NZ,440,fr,territoire insulaire,
OM,399,ar,muḩāfaz̧ah,
OM,399,en,governorate,governorates
OM,399,fr,gouvernorat,
PA,232,en,indigenous region,indigenous regions
PA,232,fr,région indigène,
PA,232,es,comarca indígena,
PA,389,en,province,provinces
PA,389,fr,province,
PA,389,es,provincia,
PE,127,ay,jach'a suyu,
PE,127,en,region,regions
PE,127,fr,région,
PE,127,qu,suyu,
PE,127,es,región,
PE,190,ay,hatun llaqta,
PE,190,en,municipality,municipalities
PE,190,fr,municipalité,
PE,190,qu,llaqta suyu,
PE,190,es,municipalidad,
PG,137,en,district,districts
PG,137,fr,district,
PG,137,,distrik,
PG,173,en,province,provinces
PG,173,fr,province,
PG,173,,provins,
PG,186,en,autonomous region,autonomous regions
PG,186,fr,région autonome,
PH,128,en,region,regions
PH,128,fr,région,
PH,128,tl,rehiyon,
PH,260,en,province,provinces
PH,260,fr,province,
PH,260,tl,lalawigan,
PK,138,en,Pakistan administered area,Pakistan administered areas
PK,138,fr,zone administrée par le Pakistan,
PK,138,ur,Pakistan kay zair-i-intezam ilaqay,
PK,191,en,federal capital territory,federal capital territories
PK,191,fr,territoire de la capitale fédérale,
PK,191,ur,wafāqī dār al ḩikūmat ‘alāqah,
PK,261,en,province,provinces
PK,261,fr,province,
PK,261,ur,sūbah,
PL,217,en,voivodship,voivodships
PL,217,fr,voïvodie,
PL,217,pl,województwo,
PS,349,ar,muḩāfaz̧ah,
PS,349,en,governorate,governorates
PS,349,fr,gouvernorat,
PT,270,en,autonomous region,autonomous regions
PT,270,fr,région autonome,
PT,270,pt,região autónoma,
PT,304,en,district,districts
PT,304,fr,district,
PT,304,pt,distrito,
PW,129,en,state,states
PW,129,fr,État,
PY,295,en,department,departments
PY,295,fr,département,
PY,295,es,departamento,
PY,350,en,capital,capitals
PY,350,fr,capitale,
PY,350,es,capital,
QA,179,ar,baladīyah,
QA,179,en,municipality,municipalities
QA,179,fr,municipalité,
RO,296,en,department,departments
RO,296,fr,département,
RO,296,ro,judeţ,
RO,308,en,municipality,municipalities
RO,308,fr,municipalité,
RO,308,ro,municipiu,
RS,224,en,autonomous province,autonomous provinces
RS,224,fr,province autonome,
RS,224,sr,autonomna pokrajina,
RS,271,en,city,cities
RS,271,fr,ville,
RS,271,sr,grad,
RS,337,en,district,districts
RS,337,fr,district,
RS,337,sr,okrug,
RU,290,en,administrative region,administrative regions
RU,290,fr,région administrative,
RU,290,ru,oblast',
RU,309,en,autonomous district,autonomous districts
RU,309,fr,district autonome,
RU,309,ru,avtonomnyy okrug,
RU,311,en,autonomous city,autonomous cities
RU,311,fr,ville autonome,
RU,311,ru,avtonomnyy gorod,
RU,355,en,autonomous region,autonomous regions
RU,355,fr,région autonome,
RU,355,ru,avtonomnaya oblast',
RU,396,en,administrative territory,administrative territories
RU,396,fr,territoire administratif,
RU,396,ru,kray,
RU,433,en,republic,republics
RU,433,fr,république,
RU,433,ru,respublika,
RW,267,en,city,cities
RW,267,fr,ville,
RW,267,rw,umujyi,
RW,343,en,province,provinces
RW,343,fr,province,
RW,343,rw,intara,
SA,214,ar,minţaqah,
SA,214,en,region,regions
SA,214,fr,région,régions
SB,122,en,province,provinces
SB,122,fr,province,
SB,229,en,capital territory,capital territories
SB,229,fr,territoire de la capitale,
SC,164,,distrik,
SC,164,en,district,districts
SC,164,fr,district,
SD,395,ar,wilayah,
SD,395,en,state,states
SD,395,fr,État,
SE,422,en,county,counties
SE,422,fr,département,
SE,422,sv,län,
SG,215,en,district,districts
SG,215,fr,district,
SH,230,en,geographical entity,geographical entities
SH,230,fr,entité géographique,
SI,423,en,municipality,municipalities
SI,423,fr,municipalité,
SI,423,sl,občina,
SK,250,en,region,regions
SK,250,fr,région,
SK,250,sk,kraj,
SL,359,en,area,areas
SL,359,fr,zone,
SL,424,en,province,provinces
SL,424,fr,province,
SM,165,en,municipality,municipalities
SM,165,fr,municipalité,
SM,165,it,castello,
SN,175,en,region,regions
SN,175,fr,région,
SO,303,en,region,regions
SO,303,fr,région,
SO,303,so,gobol,
SR,123,en,district,districts
SR,123,fr,district,
SR,123,nl,distrikt,
SS,306,en,state,states
SS,306,fr,État,
ST,133,en,autonomous region,autonomous regions
ST,133,fr,région autonome,
ST,133,pt,região autónoma,
ST,487,en,district,districts
ST,487,fr,district,
ST,487,pt,distrito,
SV,379,en,department,departments
SV,379,fr,département,
SV,379,es,departamento,
SY,251,ar,muḩāfaz̧ah,
SY,251,en,province,provinces
SY,251,fr,gouvernorat,
SZ,166,en,region,regions
SZ,166,fr,région,régions
TD,380,ar,wilāyah,
TD,380,en,province,provinces
TD,380,fr,province,
TG,252,en,region,regions
TG,252,fr,région,
TH,134,en,metropolitan administration,metropolitan administrations
TH,134,fr,administration métropolitaine,
TH,291,en,province,provinces
TH,291,fr,province,
TH,291,th,changwat,
TH,348,en,special administrative city,special administrative cities
TH,348,fr,ville administrative spéciale,
TJ,145,en,region,regions
TJ,145,fr,région,
TJ,145,tg,viloyat,
TJ,315,en,autonomous region,autonomous regions
TJ,315,fr,région autonome,
TJ,315,tg,viloyati mukhtor,
TJ,458,en,capital territory,capital territories
TJ,458,fr,territoire de la capitale,
TJ,458,tg,viloyati poytakht,
TJ,472,en,districts under republic administration,districts under republic administration 
TJ,472,fr,Districts sous l'administration de la République,
TJ,472,tg,nohiyahoi tobei jumhurí,
TL,253,en,municipality,municipalities
TL,253,fr,commune,communes
TL,253,pt,município,
TL,253,,munisípiu,
TL,478,en,special administrative region,special administrative regions
TL,478,fr,région administrative spéciale,
TL,478,pt,região administrativa especial,
TL,478,,rejiaun administrativa espesiál,
TM,292,en,city,cities
TM,292,fr,ville,
TM,292,tk,şäher,
TM,425,en,region,regions
TM,425,fr,région,
TM,425,tk,welaýat,
TN,124,ar,wilaya,
TN,124,en,governorate,governorates
TN,124,fr,gouvernorat,
TO,381,en,division,divisions
TO,381,fr,division,
TR,426,en,province,provinces
TR,426,fr,département,
TR,426,tr,il,
TT,167,en,borough,boroughs
TT,167,fr,arrondissement,
TT,176,en,region,regions
TT,176,fr,région,
TT,463,en,ward,wards
TT,463,fr,circonscription,
TT,488,en,city,cities
TT,488,fr,ville,
TV,177,en,island council,island councils
TV,177,fr,conseil insulaire,
TV,307,en,town council,town councils
TV,307,fr,conseil urbain,
TW,136,en,city,cities
TW,136,fr,ville,
TW,136,zh,shih,
TW,223,en,special municipality,special municipalities
TW,223,fr,municipalité spéciale,
TW,223,zh,chih-hsia-shih,
TW,344,en,county,counties
TW,344,fr,comté,
TW,344,zh,hsien,
TZ,427,en,region,regions
TZ,427,fr,région,
TZ,427,sw,mkoa,
UA,382,en,city,cities
UA,382,fr,ville,
UA,382,uk,misto,
UA,383,en,region,regions
UA,383,fr,région,
UA,383,uk,oblast',
UA,400,en,republic,republics
UA,400,fr,république,
UA,400,uk,respublika,
UG,254,en,geographical region,geographical regions
UG,254,fr,région géographique,
UG,334,en,district,districts
UG,334,fr,district,
UG,459,en,city,cities
UG,459,fr,ville,
UM,255,en,"islands, groups of islands","islands, groups of islands"
UM,255,fr,"île, groupe d’îles",
US,141,en,district,districts
